stopping sim at  229 + 12 / 241
::  Return for Rs 10000 / 12 months starting from 2012_02 is 14.65
::  Return for Rs 10000 / 12 months starting from 2018_03 is 15.79
::  Return for Rs 10000 / 12 months starting from 2009_01 is 16.12
::  Return for Rs 10000 / 12 months starting from 2017_12 is 17.04
::  Return for Rs 10000 / 12 months starting from 2018_02 is 17.15
::  Return for Rs 10000 / 12 months starting from 2019_01 is 17.21
::  Return for Rs 10000 / 12 months starting from 2002_07 is 18.49
::  Return for Rs 10000 / 12 months starting from 2018_11 is 19.1
::  Return for Rs 10000 / 12 months starting from 2017_05 is 19.57
::  Return for Rs 10000 / 12 months starting from 2008_08 is 20.07
::  Return for Rs 10000 / 12 months starting from 2016_03 is 21.18
::  Return for Rs 10000 / 12 months starting from 2006_04 is 22.34
::  Return for Rs 10000 / 12 months starting from 2017_03 is 22.64
::  Return for Rs 10000 / 12 months starting from 2018_05 is 22.66
::  Return for Rs 10000 / 12 months starting from 2007_05 is 22.67
::  Return for Rs 10000 / 12 months starting from 2018_12 is 23.22
::  Return for Rs 10000 / 12 months starting from 2016_07 is 23.34
::  Return for Rs 10000 / 12 months starting from 2008_11 is 24.31
::  Return for Rs 10000 / 12 months starting from 2016_06 is 24.39
::  Return for Rs 10000 / 12 months starting from 2004_07 is 24.67
::  Return for Rs 10000 / 12 months starting from 2013_06 is 24.74
::  Return for Rs 10000 / 12 months starting from 2018_04 is 25.11
::  Return for Rs 10000 / 12 months starting from 2008_09 is 26.56
::  Return for Rs 10000 / 12 months starting from 2016_04 is 27.5
::  Return for Rs 10000 / 12 months starting from 2016_10 is 27.57
::  Return for Rs 10000 / 12 months starting from 2002_08 is 28.03
::  Return for Rs 10000 / 12 months starting from 2008_07 is 28.05
::  Return for Rs 10000 / 12 months starting from 2008_12 is 28.82
::  Return for Rs 10000 / 12 months starting from 2004_11 is 29.0
::  Return for Rs 10000 / 12 months starting from 2004_09 is 30.11
::  Return for Rs 10000 / 12 months starting from 2007_03 is 30.44
::  Return for Rs 10000 / 12 months starting from 2006_03 is 30.6
::  Return for Rs 10000 / 12 months starting from 2017_02 is 30.81
::  Return for Rs 10000 / 12 months starting from 2017_08 is 31.11
::  Return for Rs 10000 / 12 months starting from 2017_10 is 31.29
::  Return for Rs 10000 / 12 months starting from 2004_08 is 31.6
::  Return for Rs 10000 / 12 months starting from 2017_01 is 32.22
::  Return for Rs 10000 / 12 months starting from 2016_09 is 32.58
::  Return for Rs 10000 / 12 months starting from 2016_05 is 32.66
::  Return for Rs 10000 / 12 months starting from 2006_05 is 33.76
::  Return for Rs 10000 / 12 months starting from 2006_07 is 33.95
::  Return for Rs 10000 / 12 months starting from 2017_09 is 35.6
::  Return for Rs 10000 / 12 months starting from 2003_04 is 36.17
::  Return for Rs 10000 / 12 months starting from 2008_10 is 36.21
::  Return for Rs 10000 / 12 months starting from 2007_02 is 38.36
::  Return for Rs 10000 / 12 months starting from 2002_09 is 39.04
::  Return for Rs 10000 / 12 months starting from 2006_02 is 39.11
::  Return for Rs 10000 / 12 months starting from 2016_08 is 39.25
::  Return for Rs 10000 / 12 months starting from 2006_01 is 39.56
::  Return for Rs 10000 / 12 months starting from 2008_06 is 39.77
::  Return for Rs 10000 / 12 months starting from 2004_12 is 40.08
::  Return for Rs 10000 / 12 months starting from 2016_12 is 40.4
::  Return for Rs 10000 / 12 months starting from 2006_09 is 40.76
::  Return for Rs 10000 / 12 months starting from 2004_10 is 40.78
::  Return for Rs 10000 / 12 months starting from 2005_01 is 42.44
::  Return for Rs 10000 / 12 months starting from 2006_08 is 43.44
